"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Status"
"handcrafted-wood-stool---cote-d-ivoire","Handcrafted Wood Stool – Côte D’Ivoire","","The Roots Corner","stools","stools","TRUE","Title","Default Title","handcrafted-wood-stool---cote-d-ivoire","shopify","1","deny","manual","480","TRUE","TRUE","https://storage.e.jimdo.com/image/547923656/5b5fa46c-0165-4a3c-822e-0b440a0e88cf.jpg","1","active"
"handcrafted-wood-stool---cote-d-ivoire","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/503045209/8b973107-5da6-460c-9eb1-25af8176e3e4.jpg","2",""
"handcrafted-wood-stool---cote-d-ivoire","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547923655/99e136f8-426b-48c1-a7bd-23fbf6f35806.jpg","3",""
"handcrafted-wood-stool---cote-d-ivoire","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547923654/6c399445-b3ea-4769-a2e6-79764e0eca78.jpg","4",""
"handcrafted-wood-stool---cote-d-ivoire","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547923651/c8d03a66-209c-4685-970c-000a15da7c93.jpg","5",""
"handcrafted-wood-stool---cote-d-ivoire","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547923642/7642dfd6-b4d1-4606-b75b-de633687e969.jpg","6",""
"handcrafted-wood-stool---cote-d-ivoire","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547923616/0d38f8cd-7f4d-4ea2-a73d-1163317f061f.jpg","7",""
"handcrafted-wood-stool---cote-d-ivoire","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547923652/c74aae7c-7eba-4091-924b-f18125c28407.jpg","8",""
"hand-carved-tribal-stool-wood","Hand-Carved Tribal Stool Wood","","The Roots Corner","stools","stools","TRUE","Title","Default Title","hand-carved-tribal-stool-wood","shopify","1","deny","manual","480","TRUE","TRUE","https://storage.e.jimdo.com/image/547926296/09aae5ee-517a-4920-9a77-e45fedf7928c.jpg","1","active"
"hand-carved-tribal-stool-wood","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/503046182/8a5253e6-a72c-44aa-b56a-924601fc5905.jpg","2",""
"hand-carved-tribal-stool-wood","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547926297/fd047404-805f-4099-8bcb-ddddd5e6598b.jpg","3",""
"hand-carved-tribal-stool-wood","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547926291/0e58fcb0-eb1d-490c-9e40-72ea4330aabf.jpg","4",""
"hand-carved-tribal-stool-wood","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547926294/1d7b82b2-8317-410e-bbde-bcbff76d9f25.jpg","5",""
"hand-carved-tribal-stool-wood","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547926292/881da053-9018-4f51-b9ac-8daf2ab062ac.jpg","6",""
"hand-carved-tribal-stool-wood","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547926290/12df82b4-f9e5-4752-9c56-5105164aa123.jpg","7",""
"hand-carved-tribal-stool-wood","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/547926293/072f8b36-74b8-46c1-8eb1-f49afa9477b2.jpg","8",""
"handmade-wooden-stool","Handmade Wooden Stool","","The Roots Corner","stools","stools","TRUE","Title","Default Title","handmade-wooden-stool","shopify","1","deny","manual","480","TRUE","TRUE","https://storage.e.jimdo.com/image/545769653/b798f579-0ea6-4415-b65f-7ef362222d97.jpg","1","active"
"handmade-wooden-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545783233/8e52dd71-f1ce-49aa-8eee-aae4d59b971e.jpg","2",""
"handmade-wooden-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545783234/3859003f-6fe6-4872-832a-985229299555.jpg","3",""
"handmade-wooden-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545783232/48640323-bef2-42e9-a3fd-37e9d5117c53.jpg","4",""
"decorative-wooden-stool","Decorative Wooden Stool","","The Roots Corner","stools","stools","TRUE","Title","Default Title","decorative-wooden-stool","shopify","1","deny","manual","480","TRUE","TRUE","https://storage.e.jimdo.com/image/545792936/884c807d-a7bf-4c4f-b2b3-0d7892fb918b.jpg","1","active"
"decorative-wooden-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545792986/c29d44ad-baf4-42b6-82a7-56b43b3c2c5c.jpg","2",""
"decorative-wooden-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545792983/d83a7c1a-9ea9-4681-9f7a-c2e42308b8a2.jpg","3",""
"decorative-wooden-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545792982/14ffb8e4-b663-4297-9242-32fe3f9d38de.jpg","4",""
"decorative-wooden-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545792978/6c21306e-bd03-4c4f-910f-9cd8de1aab4c.jpg","5",""
"wooden-carved-stool","Wooden Carved Stool","","The Roots Corner","stools","stools","TRUE","Title","Default Title","wooden-carved-stool","shopify","1","deny","manual","480","TRUE","TRUE","https://storage.e.jimdo.com/image/545793264/6924464a-ed34-40e4-9ca8-e3b959ce5934.jpg","1","active"
"wooden-carved-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545793362/3c9e17fe-28ff-4a33-9277-444faa535f57.jpg","2",""
"wooden-carved-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545793361/346d3174-92c8-492c-a589-466b29d6e95d.jpg","3",""
"wooden-carved-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545793360/12e27309-29fd-4143-88fe-2c424c781b79.jpg","4",""
"handcrafted-stool","Handcrafted Stool","","The Roots Corner","stools","stools","TRUE","Title","Default Title","handcrafted-stool","shopify","1","deny","manual","480","TRUE","TRUE","https://storage.e.jimdo.com/image/545801693/bcd1810a-c556-4397-b899-8d07a514d4c3.jpg","1","active"
"handcrafted-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545801743/db417b96-2fcf-4bc9-893f-cc53bdb13b84.jpg","2",""
"handcrafted-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545801747/bb7e641d-2522-4bb4-8015-01cf31cf5c86.jpg","3",""
"handcrafted-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545801745/c3b782e9-68b2-466e-9d9a-a6401ce46bee.jpg","4",""
"handcrafted-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545801746/131cc037-3e00-4d2d-aa2c-cb422b0e3066.jpg","5",""
"handcrafted-stool","","","","","","","","","","","","","","","","","https://storage.e.jimdo.com/image/545801742/33d58dbb-7216-4295-812a-1536cc46134d.jpg","6",""
"handcrafted-varnished-wooden-stool","Handcrafted Varnished Wooden Stool","","The Roots Corner","stools","stools","TRUE","Title","Default Title","handcrafted-varnished-wooden-stool","shopify","1","deny","manual","300","TRUE","TRUE","https://storage.e.jimdo.com/image/545801872/3907e350-52bf-4d00-9f10-a522d8fe6c05.jpg","1","active"
